Distance_(pixels),Gray_Value
974,2522.876
975,2569.813
976,2419.565
977,2417.537
978,2464.489
979,2399.368
980,2359.676
981,2228.228
982,1958.493
983,1744.838
984,1841.783
985,2205.638
986,3117.568
987,4145.056
988,3975.998
989,3169.000
990,3090.819
991,3434.639
992,3740.829
993,3863.842
994,3234.000
995,2349.201
996,2116.650
997,2283.353
998,2272.628
999,2095.096
1000,2008.197
1001,2171.155
1002,2199.405
1003,2171.137
1004,2132.183
1005,1982.451
1006,1978.460
1007,1999.826
1008,1938.144
1009,2069.079
1010,2268.042
1011,2220.260
1012,2049.925
1013,1932.982
1014,1859.087
1015,1825.296
1016,2073.281
1017,2284.733
1018,2313.776
1019,2207.392
1020,2090.916
1021,2027.051
1022,2033.549
1023,2290.930
1024,2919.488
1025,3609.278
1026,3937.192
1027,3541.866
1028,2656.795
1029,2234.913
1030,2294.358
1031,2374.385
1032,2365.577
1033,2358.786
1034,2346.724
1035,2270.248
1036,2327.637
1037,2682.635
1038,2799.597
1039,2571.208
1040,2420.457
1041,2484.687
1042,2560.028
1043,2515.665
1044,2402.201
1045,2311.163
1046,2287.978
1047,2381.443
1048,2412.271
1049,2306.803
1050,2353.479
1051,2412.096
1052,2085.537
1053,1745.083
1054,1595.160
1055,1566.515
1056,1662.333
1057,1793.761
1058,1953.900
1059,2041.189
1060,1954.783
1061,1771.854
1062,1572.710
1063,1451.871
1064,1479.913
1065,1714.429
1066,2180.118
1067,2434.340
1068,2521.788
1069,2804.060
1070,3088.390
1071,3583.623
1072,4147.619
1073,3811.958
1074,2926.513
1075,2186.256
1076,1950.814
1077,1937.343
1078,2064.248
1079,2527.316
1080,3266.499
1081,3458.343
1082,3036.605
1083,2630.699
1084,2424.963
1085,2464.577
1086,2584.177
1087,2587.316
1088,2525.658
1089,2333.937
1090,2171.316
1091,1967.654
1092,1643.758
1093,1403.841
1094,1376.737
1095,1488.644
1096,1823.021
1097,2251.626
1098,2328.388
1099,2199.273
1100,2272.491
1101,2482.346
1102,2735.156
1103,2778.028
1104,2560.627
1105,2323.412
1106,2457.082
1107,2683.083
1108,2450.236
1109,2063.271
1110,1925.274
1111,2072.567
1112,2329.212
1113,2615.163
1114,2822.602
1115,2696.990
1116,2413.125
1117,2182.712
1118,2272.742
1119,2444.107
1120,2495.901
1121,2409.206
1122,2203.545
1123,2175.328
1124,2299.989
1125,2526.320
1126,3032.864
1127,3364.766
1128,3241.359
1129,3012.366
1130,2797.906
1131,2484.350
1132,2363.057
1133,2280.816
1134,2163.121
1135,2131.927
1136,2186.171
1137,2306.708
1138,2637.589
1139,3298.637
1140,3866.982
1141,3449.724
1142,2578.807
1143,1917.887
1144,1732.487
1145,1934.682
1146,2151.635
1147,2291.586
1148,2573.991
1149,2844.993
1150,2900.000
1151,2863.511
1152,2950.365
1153,2862.972
1154,2609.710
1155,2563.916
1156,2720.784
1157,2762.241
1158,2671.161
1159,2523.274
1160,2280.211
1161,2127.590
1162,2110.349
1163,2314.827
1164,2445.007
1165,2408.412
1166,2388.376
1167,2395.880
1168,2384.466
1169,2237.949
1170,2243.873
1171,2314.967
1172,2212.639
1173,2259.520
1174,2362.717
1175,2149.686
1176,1782.992
1177,1521.287
1178,1492.824
1179,1878.142
1180,2783.199
1181,3380.434
1182,3074.772
1183,2435.938
1184,2088.265
1185,1883.940
1186,1793.893
1187,1902.235
1188,2328.093
1189,2865.030
1190,3254.859
1191,3270.115
1192,2882.985
1193,2565.588
1194,2655.259
1195,2768.608
1196,2667.115
1197,2547.930
1198,2551.429
1199,2486.936
1200,2686.730
1201,3629.069
1202,4166.759
1203,3677.687
1204,2639.389
1205,1828.702
1206,1781.812
1207,2189.171
1208,2525.880
1209,2450.224
1210,2203.944
1211,2195.558
1212,2360.608
1213,2387.846
1214,2396.259
1215,2394.946
1216,2365.101
1217,2302.807
1218,2437.941
1219,2910.779
1220,3461.871
1221,3542.219
1222,3133.819
1223,2660.132
1224,2368.184
1225,2171.282
1226,2119.382
1227,2199.031
1228,2338.635
1229,2469.752
1230,2442.771
1231,2312.862
1232,2245.882
1233,2210.654
1234,2172.076
1235,2152.503
1236,2032.748
1237,1903.146
1238,2004.169
1239,2277.428
1240,2385.050
1241,2415.116
1242,2286.619
1243,2105.854
1244,1974.227
1245,1984.048
1246,2164.149
1247,2407.577
1248,2259.260
1249,1945.309
1250,1914.141
1251,1970.724
1252,2173.560
1253,2373.932
1254,2379.277
1255,2277.592
1256,2269.477
1257,2466.310
1258,2382.078
1259,1965.839
1260,1827.000
1261,2049.836
1262,2499.196
1263,2843.750
1264,2571.105
1265,2205.604
1266,2168.259
1267,2262.290
1268,2198.716
1269,2065.960
1270,2022.793
1271,2015.748
1272,2049.661
1273,2139.482
1274,2111.825
1275,1990.815
1276,2062.717
1277,2304.790
1278,2417.171
1279,2302.207
1280,2202.467
1281,2097.141
1282,2087.548
1283,2455.842
1284,3045.767
1285,3258.551
1286,3089.051
1287,3257.957
1288,3440.620
1289,3133.833
1290,2776.747
1291,2551.433
1292,2240.944
1293,2054.829
1294,2032.117
1295,2065.944
1296,2155.547
1297,2295.380
1298,2443.260
1299,2424.535
1300,2131.672
1301,2021.712
1302,2086.623
1303,1959.641
1304,1787.503
1305,1820.913
1306,1884.030
1307,1896.332
1308,1996.949
1309,2095.521
1310,2159.990
1311,2279.043
1312,2545.815
1313,2825.097
1314,2710.280
1315,2130.215
1316,1929.037
1317,2450.928
1318,3058.326
1319,3027.387
1320,2751.032
1321,2366.783
1322,2136.598
1323,2181.665
1324,2221.073
1325,2209.849
1326,2152.343
1327,2048.796
1328,2036.874
1329,2108.086
1330,2311.944
1331,2504.632
1332,2318.081
1333,1896.615
1334,2085.884
1335,2638.793
1336,2811.428
1337,2727.313
1338,2546.953
1339,2343.977
1340,2252.533
1341,2165.467
1342,2139.805
1343,2154.184
1344,2198.828
1345,2108.119
1346,1982.873
1347,1957.748
1348,1965.213
1349,1938.886
1350,2015.221
1351,2027.144
1352,2112.483
1353,2157.894
1354,2131.135
1355,2157.191
1356,2198.931
1357,2122.093
1358,2110.969
1359,2164.908
1360,2261.107
1361,2395.575
1362,2469.202
1363,2342.599
1364,2155.797
1365,1986.817
1366,1650.043
1367,1399.670
1368,1289.684
1369,1207.863
1370,1230.793
1371,1299.628
1372,1558.899
1373,1899.864
1374,2004.575
1375,1965.594
1376,1925.001
1377,1980.443
1378,2073.580
1379,2068.966
1380,1978.974
1381,1837.040
1382,1750.726
1383,1818.206
1384,2081.559
1385,2449.638
1386,2425.079
1387,1882.214
1388,1455.055
1389,1560.467
1390,2103.459
1391,2509.135
1392,2555.727
1393,2368.208
1394,2214.346
1395,2234.839
1396,2204.392
1397,2270.925
1398,2690.516
1399,3192.027
1400,3159.789
1401,2513.109
1402,1807.087
1403,1789.664
1404,2466.969
1405,2780.897
1406,2430.244
1407,2110.690
1408,1953.988
1409,2001.631
1410,1997.992
1411,1930.973
1412,2033.260
1413,2293.572
1414,2367.577
1415,2174.161
1416,1953.251
1417,2069.993
1418,2491.371
1419,2582.730
1420,2430.286
1421,2326.304
1422,2160.233
1423,2041.589
1424,2018.326
1425,2284.956
1426,2855.243
1427,3055.871
1428,2782.231
1429,2439.592
1430,2071.839
1431,1919.026
1432,2015.049
1433,2056.069
1434,1965.323
1435,2040.732
1436,2138.606
1437,2133.359
1438,2233.125
1439,2463.276
1440,2696.227
1441,2732.202
1442,2539.834
1443,2319.530
1444,2200.782
1445,2064.410
1446,2003.832
1447,2045.519
1448,2078.313
1449,2341.882
1450,2889.555
1451,3037.042
1452,2662.345
1453,2166.383
1454,1877.030
1455,1881.704
1456,1932.056
1457,1973.062
1458,2064.398
1459,2053.614
1460,1922.251
1461,1894.528
1462,2010.295
1463,2243.808
1464,2627.195
1465,2899.475
1466,2459.115
1467,1975.874
1468,1989.666
1469,1965.461
1470,1932.239
1471,2018.448
1472,2038.121
1473,1958.235
1474,1884.358
1475,1736.350
1476,1889.222
1477,2606.637
1478,3204.607
1479,3092.549
1480,2428.843
1481,1980.636
1482,1976.313
1483,2066.695
1484,2069.713
1485,2122.585
1486,2151.723
1487,2112.615
1488,2212.516
1489,2510.174
1490,2713.656
1491,2685.000
1492,2465.482
1493,2325.739
1494,2531.959
1495,2655.765
1496,2460.909
1497,2198.273
1498,1957.096
1499,1884.560
1500,1880.294
1501,1903.202
1502,1963.842
1503,1955.018
1504,1939.215
1505,1898.169
1506,1869.812
1507,1868.125
1508,1929.103
1509,1951.961
1510,1971.199
1511,1993.294
1512,1994.299
1513,2029.664
1514,2096.754
1515,2122.099
1516,2325.978
1517,2619.031
1518,2640.158
1519,2270.814
1520,1937.294
1521,2276.500
1522,3046.782
1523,3184.521
1524,2718.408
1525,2291.968
1526,2176.037
1527,2295.797
1528,2324.147
