x,y,x-displacement,y-displacement
-25.2455,10.919,-0.0034413705882353,-0.004267072076470589
-24.9267,10.919,-0.0030695705882353014,-0.0036628120764705886
-24.6079,10.919,-0.001813870588235303,-0.003306552076470589
-24.2892,10.919,-0.0013018705882352974,-0.0038001120764705886
-23.9704,10.919,-0.0008857705882353017,-0.004517912076470589
-23.6517,10.919,0.00021042941176469682,-0.006639472076470589
-23.3329,10.919,0.0004016294117646993,-0.007226812076470588
39.1439,10.919,0.0123021294117647,-0.015038162076470588
39.4627,10.919,0.012338729411764698,-0.015360162076470587
39.7814,10.919,0.012539829411764701,-0.01583526207647059
40.1002,10.919,0.012623729411764699,-0.016270362076470587
40.4189,10.919,0.012348829411764697,-0.01642716207647059
40.7377,10.919,0.011603229411764698,-0.016182662076470587
41.0565,10.919,0.010415229411764704,-0.015667462076470587
41.3752,10.919,0.009003529411764702,-0.01519146207647059
41.694,10.919,0.007664529411764702,-0.015144062076470587
42.0127,10.919,0.006614129411764702,-0.015764862076470588
42.3315,10.919,0.005934929411764697,-0.016981162076470588
42.6502,10.919,0.005620629411764701,-0.01844836207647059
42.969,10.919,0.0056300294117647,-0.019728662076470588
43.2878,10.919,0.0059070294117647,-0.020503462076470587
43.6065,10.919,0.0064239294117647006,-0.020668262076470587
43.9253,10.919,0.007134229411764698,-0.02034466207647059
44.244,10.919,0.0078903294117647,-0.019771262076470588
44.5628,10.919,0.008417929411764703,-0.01917646207647059
44.8816,10.919,0.008486429411764702,-0.018669662076470587
45.2003,10.919,0.0080100294117647,-0.01821406207647059
45.5191,10.919,0.007073229411764699,-0.017670662076470587
45.8378,10.919,0.005877329411764699,-0.01688636207647059
46.1566,10.919,0.0046177294117647,-0.01577036207647059
46.4754,10.919,0.003379229411764703,-0.01430646207647059
46.7941,10.919,0.002150529411764697,-0.012568362076470588
47.1129,10.919,0.0009264294117646982,-0.010732562076470588
47.4316,10.919,0.0008362294117646996,-0.008598862076470587
47.7504,10.919,-3.827058823530072e-05,-0.007468912076470588
48.0692,10.919,-0.0005251705882352992,-0.006518962076470588
48.3879,10.919,-0.0005380705882353023,-0.005600062076470588
48.7067,10.919,-0.0001588705882352992,-0.004453442076470589
49.0254,10.919,0.00036422941176469936,-0.0028055220764705885
49.3442,10.919,0.0008754294117647027,-0.0006229220764705887
49.6629,10.919,0.0012712294117646974,0.0019116789235294114
49.9817,10.919,0.0016008294117647037,0.004407157923529411
50.3005,10.919,0.0019988294117646993,0.006415337923529411
50.6192,10.919,0.0025442294117647007,0.007611797923529411
50.938,10.919,0.0031531294117647032,0.007930607923529412
51.2567,10.919,0.0036059294117646995,0.007585717923529411
51.5755,10.919,0.003648729411764702,0.006904707923529412
51.8943,10.919,0.0031256294117647035,0.006166527923529411
52.213,10.919,0.002047629411764701,0.005529777923529411
52.5318,10.919,0.0005658294117647025,0.0050207779235294115
52.8505,10.919,-0.0010925705882353018,0.004597337923529411
53.1693,10.919,-0.002691070588235301,0.0042075779235294115
53.4881,10.919,-0.0040582705882353,0.003817237923529411
53.8068,10.919,-0.0051326705882353,0.0033627679235294114
54.1256,10.919,-0.0059661705882353006,0.0027354719235294115
54.4443,10.919,-0.0066740705882353014,0.0018369619235294114
54.7631,10.919,-0.007384270588235299,0.0006287379235294115
55.0819,10.919,-0.008153770588235298,-0.0008167620764705885
55.4006,10.919,-0.0088925705882353,-0.0023016520764705885
55.7194,10.919,-0.0093915705882353,-0.0035834320764705882
56.0381,10.919,-0.0094462705882353,-0.004508052076470589
56.3569,10.919,-0.0089461705882353,-0.005083122076470589
56.6757,10.919,-0.007946970588235298,-0.005447432076470589
56.9944,10.919,-0.0066760705882353,-0.005796732076470587
57.3132,10.919,-0.005456070588235301,-0.0063137320764705875
57.6319,10.919,-0.004564370588235299,-0.007085252076470589
57.9507,10.919,-0.004139270588235301,-0.008061862076470588
58.2694,10.919,-0.0041566705882352985,-0.009074362076470588
58.5882,10.919,-0.004465570588235299,-0.009876762076470588
58.907,10.919,-0.004857570588235299,-0.010198162076470589
59.2257,10.919,-0.0051664705882353,-0.009843262076470589
59.5445,10.919,-0.0053172705882353,-0.008813962076470588
59.8632,10.919,-0.005300170588235301,-0.0073359120764705885
60.182,10.919,-0.0051220705882353,-0.0057696720764705885
60.5008,10.919,-0.004790970588235299,-0.004462022076470588
60.8195,10.919,-0.0043453705882352985,-0.003651062076470589
61.1383,10.919,-0.0039010705882353003,-0.003321282076470589
61.457,10.919,-0.0034352705882353014,-0.003321022076470589
61.7758,10.919,-0.0029766705882353015,-0.0034753520764705882
62.0946,10.919,-0.0013301705882352993,-0.005109162076470589
-30.3456,10.6002,-0.010402270588235299,-0.006484552076470588
-30.0269,10.6002,-0.0103115705882353,-0.006753652076470587
-29.7081,10.6002,-0.0101427705882353,-0.006854802076470589
-29.3893,10.6002,-0.0098938705882353,-0.0068843420764705884
-29.0706,10.6002,-0.0095831705882353,-0.006894582076470588
-28.7518,10.6002,-0.009235170588235298,-0.0068881220764705885
-28.4331,10.6002,-0.0088656705882353,-0.006898572076470589
-28.1143,10.6002,-0.0084648705882353,-0.0069814820764705875
-27.7955,10.6002,-0.0079881705882353,-0.007164112076470589
-27.4768,10.6002,-0.007381370588235299,-0.007428292076470588
-27.158,10.6002,-0.0066260705882352985,-0.007687692076470588
-26.8393,10.6002,-0.0057881705882352995,-0.007799162076470589
-26.5205,10.6002,-0.004989970588235301,-0.0076131220764705885
-26.2017,10.6002,-0.004329670588235298,-0.007060672076470589
-25.883,10.6002,-0.0038161705882353014,-0.006230972076470588
