"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   
          0,           0,         188,      -7.814906018,      -5.654562174,       -6.09392005,      -1.791349256
          0,           0,         189,      -7.842643923,      -5.662734825,      -6.125128357,        -1.8190944
          0,           0,         190,       -7.87226847,      -5.671498164,      -6.159015739,      -1.848726304
          0,           0,         191,      -7.903630827,      -5.680891442,      -6.195586981,      -1.880096046
          0,           0,         192,       -7.93649125,      -5.690952844,      -6.234768152,      -1.912963827
          0,           0,         193,       -7.97047303,      -5.701712175,      -6.276344724,      -1.946952727
          0,           0,         194,      -8.005011697,      -5.713166071,      -6.319854519,      -1.981497798
          0,           0,         195,      -8.039307609,      -5.725322835,      -6.364439652,      -2.015798966
          0,           0,         196,       -8.07227678,      -5.738163808,      -6.408686114,      -2.048771302
          0,           0,         197,      -8.102582405,      -5.751665039,      -6.450387849,      -2.079077178
          0,           0,         198,      -8.128724664,      -5.765783641,      -6.486582853,      -2.105215888
          0,           0,         199,      -8.149301512,      -5.780484647,      -6.513957341,      -2.125785325
          0,           0,         200,      -8.163314682,      -5.795700366,      -6.529877137,      -2.139787634
          0,           0,         201,       -8.17046699,       -5.81135759,      -6.533524206,      -2.146926904
          0,           0,         202,      -8.171255325,      -5.827366173,      -6.526315522,      -2.147701539
          0,           0,         203,      -8.166819966,      -5.843623377,      -6.511202986,      -2.143253422
          0,           0,         204,      -8.158618239,      -5.860011292,       -6.49147245,      -2.135040867
          0,           0,         205,      -8.148123658,      -5.876408029,      -6.469890648,      -2.124537884
          0,           0,         206,      -8.136612521,      -5.892672509,      -6.448428922,       -2.11302069
          0,           0,         207,      -8.125092945,      -5.908668073,       -6.42833575,      -2.101497205
          0,           0,         208,      -8.114297234,       -5.92425473,      -6.410331109,      -2.090699316
          0,           0,         209,      -8.104737649,      -5.939296479,      -6.394796394,      -2.081138891
          0,           0,         210,      -8.096745428,      -5.953663005,      -6.381899314,      -2.073146866
          0,           0,         211,      -8.090536616,      -5.967251103,       -6.37168608,      -2.066939023
          0,           0,         212,      -8.086237408,      -5.979981691,       -6.36413867,      -2.062641394
          0,           0,         213,      -8.083919766,      -5.991811178,      -6.359206922,      -2.060325795
          0,           0,         214,      -8.083617746,      -6.002717227,      -6.356828563,      -2.060026153
          0,           0,         215,      -8.085345059,      -6.012727286,      -6.356937569,      -2.061756154
          0,           0,         216,      -8.089101886,       -6.02188516,      -6.359471483,      -2.065515666
          0,           0,         217,      -8.094885027,      -6.030297868,      -6.364388943,      -2.071301822
          0,           0,         218,      -8.102688471,      -6.038071609,      -6.371656938,      -2.079108609
          0,           0,         219,      -8.112505615,        -6.0453162,      -6.381247793,      -2.088929285
          0,           0,         220,        -8.1243338,      -6.052177175,      -6.393148693,      -2.100761222
          0,           0,         221,      -8.138174219,      -6.058798232,      -6.407361449,      -2.114605576
          0,           0,         222,      -8.154030756,      -6.065317807,      -6.423902217,      -2.130466181
          0,           0,         223,      -8.171909254,      -6.071873788,      -6.442800601,      -2.148348915
          0,           0,         224,      -8.191816919,      -6.078592292,      -6.464098345,         -2.168261
          0,           0,         225,      -8.213756484,       -6.08558761,      -6.487847788,      -2.190205217
          0,           0,         226,      -8.237725548,      -6.092958949,      -6.514108882,      -2.214179155
