fraction,x,y,ux,uy
0.0,-3.25108,0.0,0.5683176191065433,-0.014040611331924243
0.0,-2.93232,0.0,0.5670287117270452,-0.01290696950493782
0.0,-2.61356,0.0,0.5644214097055793,-0.011063674607353816
0.0,-2.2948,0.0,0.5613905642700965,-0.008762354556832856
0.0,-1.97604,0.0,0.5592735000208898,-0.006366426909596138
0.0,-1.65728,0.0,0.559479289171809,-0.00440214693501975
0.0,-1.33852,0.0,0.5630503518398828,-0.0034127049233168578
0.0,-1.01976,0.0,0.5702127427285422,-0.00375479088837884
0.0,-0.701004,0.0,0.5802012094513432,-0.005589398576699916
0.0,-0.382245,0.0,0.5909616046843533,-0.008881912183100743
0.0,-0.063486,0.0,0.5996498504212552,-0.013347191098192657
0.0,0.255273,0.0,0.6037705747319253,-0.01796845316342819
0.0,0.574032,0.0,0.6024160423118007,-0.023124334593525177
0.0,0.892792,0.0,0.5961133210303804,-0.028259329891537344
0.0,1.21155,0.0,0.5872922372315958,-0.0319774815598207
0.0,1.53031,0.0,0.5789789229011366,-0.034715116013206766
0.0,1.84907,0.0,0.5731828514113455,-0.03678823180357867
0.0,2.16783,0.0,0.5696857434526006,-0.03867496973834314
0.0,2.48659,0.0,0.5664738485151118,-0.04062488712164362
0.0,2.80535,0.0,0.5607415276681267,-0.04232210507829297
0.0,3.12411,0.0,0.5502418903185068,-0.042939183808668416
0.0,3.44287,0.0,0.5347740881345356,-0.041643396105866176
0.0,3.76162,0.0,0.5163062195291827,-0.03815885427298187
0.0,4.08038,0.0,0.49771528884679833,-0.033034090730140075
0.0,4.39914,0.0,0.48129185918399375,-0.027520074800854354
0.0,4.7179,0.0,0.46798556223093707,-0.023085052696366574
0.0,5.03666,0.0,0.45746093778135327,-0.020699182826107308
0.0,5.35542,0.0,0.44854718207013833,-0.020393475551515983
0.0,5.67418,0.0,0.4404026948076691,-0.021326222216392375
0.0,5.99294,0.0,0.4329732236075014,-0.022137170342687237
0.0,6.3117,0.0,0.4270986991520197,-0.021359807350983168
0.0,6.63046,0.0,0.4237583402549477,-0.018315390604527852
0.0,6.94922,0.0,0.42288107397837743,-0.013943332505425964
0.0,7.26798,0.0,0.42294529786051027,-0.007936443455021707
0.0,7.58673,0.0,0.4216417129091301,-0.0016272014138295071
0.0,7.90549,0.0,0.41650835414507403,0.0037488884507326627
0.0,8.22425,0.0,0.40569186425240283,0.007349747442296165
0.0,8.54301,0.0,0.38044332939407105,0.012726831291275394
0.0,8.86177,0.0,0.3616800334311047,0.014236968002544228
0.0,9.18053,0.0,0.3435630619354158,0.011108874796897827
0.0,9.49929,0.0,0.3267297519493072,0.01010274613899097
0.0,9.81805,0.0,0.3117617942107287,0.0069785687489393065
0.0,10.1368,0.0,0.2980112573132375,0.0012887905225186028
0.0,10.4556,0.0,0.28613794864222986,-0.005862890674047504
0.0,10.7743,0.0,0.2766812599434394,-0.01321048245077649
0.0,11.0931,0.0,0.27080009497607227,-0.019463038240295084
0.0,11.4118,0.0,0.26852757558899965,-0.023354999915392367
0.0,11.7306,0.0,0.26808099353385323,-0.024242132691648273
0.0,12.0494,0.0,0.267010679203394,-0.0228891167874599
0.0,12.3681,0.0,0.26342070915582194,-0.020755779653551756
0.0,12.6869,0.0,0.25652037731494415,-0.019160224904318165
0.0,13.0056,0.0,0.2467391395426849,-0.018857701147797563
0.0,13.3244,0.0,0.23532277702532067,-0.019927326546061077
0.0,13.6432,0.0,0.22371092434925346,-0.021937708945543068
0.0,13.9619,0.0,0.21293030727327003,-0.024265405267652446
0.0,14.2807,0.0,0.20342025256983906,-0.02635420409736319
0.0,14.5994,0.0,0.19513381494239163,-0.027885247939917496
0.0,14.9182,0.0,0.1877864677632706,-0.028755154595357282
0.0,15.237,0.0,0.18104317528758052,-0.029053757781214426
0.0,15.5557,0.0,0.17464817383946363,-0.028929727104728006
0.0,15.8745,0.0,0.16843060857067735,-0.028565242014434028
0.0,16.1932,0.0,0.16228975227431783,-0.0281633922346005
0.0,16.512,0.0,0.1562315145020587,-0.027874559241127063
0.0,16.8308,0.0,0.15041829568833495,-0.027728506709871453
0.0,17.1495,0.0,0.14515305936419268,-0.027631780227026122
0.0,17.4683,0.0,0.14069431392281193,-0.027403088765017854
0.0,17.787,0.0,0.13701304040565726,-0.02689177733079235
0.0,18.1058,0.0,0.1337581658748207,-0.026103700048533792
0.0,18.4245,0.0,0.13041843649574167,-0.025212329566526706
0.0,18.7433,0.0,0.12656354445448664,-0.02441259367092163
0.0,19.0621,0.0,0.12207190914402621,-0.023832857051258108
0.0,19.3808,0.0,0.11718689452984134,-0.023503102921176054
0.0,19.6996,0.0,0.11233391783272752,-0.02338998699778821
0.0,20.0183,0.0,0.10785266834251736,-0.023411127805194942
0.0,20.3371,0.0,0.10383581711456695,-0.023455561088291752
0.0,20.6559,0.0,0.10012452681105216,-0.023419704067873807
0.0,20.9746,0.0,0.09644254287335374,-0.023179337930217373
0.0,21.2934,0.0,0.09256942984619976,-0.022600044730468845
0.0,21.6121,0.0,0.08846831609498722,-0.021634136060967018
0.0,21.9309,0.0,0.08429105719201735,-0.02036578872373272
0.0,22.2497,0.0,0.08029807180620212,-0.018970614976058932
0.0,22.5684,0.0,0.076713905523734,-0.017655544223627938
0.0,22.8872,0.0,0.07363443070327415,-0.016571023672163947
0.0,23.2059,0.0,0.07100715573800259,-0.01571682627287646
0.0,23.5247,0.0,0.06869778887628772,-0.01493182394999157
0.0,23.8435,0.0,0.06653434762854805,-0.013961302115927696
0.0,24.1622,0.0,0.0642988137603066,-0.012549106791312345
0.0,24.481,0.0,0.06175704627354224,-0.01050890252087338
0.0,24.7997,0.0,0.05867011940946829,-0.0077884359768909065
0.0,25.1185,0.0,0.054827771302372895,-0.004476265206766311
0.0,25.4372,0.0,0.05014118523830188,-0.0007157524116372044
0.0,25.756,0.0,0.04469750191235135,0.003338883680480022
0.0,26.0748,0.0,0.038733766621090376,0.007475866498083801
0.0,26.3935,0.0,0.03257942422665295,0.011360756662684749
0.0,26.7123,0.0,0.026591648621524556,0.014528781381186637
0.0,27.031,0.0,0.021078615449232528,0.016475349178279614
0.0,27.3498,0.0,0.01619340531680638,0.0168035711985658
0.0,27.6686,0.0,0.011968927282380349,0.015375620511463198
0.0,27.9873,0.0,0.008359378884155737,0.012367538753343892
0.0,28.3061,0.0,0.005257508572057687,0.00823015217653409
0.0,28.6248,0.0,0.0025420039572831305,0.0035508679300128966
0.0,28.9436,0.0,0.00011026343360197527,-0.0010869383426922834
0.0,29.2624,0.0,-0.00211945670262642,-0.005218071012535412
0.0,29.5811,0.0,-0.004188679445465181,-0.008562334016035239
0.0,29.8999,0.0,-0.006077762506889681,-0.01100656703460602
0.0,30.2186,0.0,-0.007725691602243284,-0.012546289184896458
0.0,30.5374,0.0,-0.009096089712287618,-0.013263462911864938
0.0,30.8562,0.0,-0.010182944000482957,-0.01332461615977527
