x,ux
-28.967605689923097,0.0592559813761794
-28.92776029007451,0.0593276556230885
-28.88791489022592,0.0594546524422332
-28.84806949037733,0.0595890496707145
-28.808224090528743,0.059742373042329
-28.76837869068016,0.0599440864461107
-28.72853329083157,0.0601780947042437
-28.688687890982983,0.0604102386102171
-28.6488424911344,0.06055888091418
-28.608997091285808,0.0605821746288055
-28.569151691437224,0.0605821746288055
-28.52930629158864,0.0605488632869073
-28.48946089174005,0.0604441246950741
-28.44961549189146,0.0603902746047988
-28.409770092042876,0.0603865482754506
-28.369924692194285,0.0603865482754506
-28.330079292345697,0.0603997436137927
-28.29023389249711,0.0604444833156806
-28.25038849264852,0.060523586471577
-28.21054309279993,0.0606075393180593
-28.170697692951347,0.0606548558633779
-28.13085229310276,0.0606800044302793
-28.09100689325417,0.0606800044302793
-28.051161493405584,0.0606578910761931
-28.011316093557,0.0606500014228503
-27.97147069370841,0.0606423421416852
-27.931625293859824,0.0606411712810295
-27.89177989401124,0.0606411712810295
-27.85193449416265,0.0606475148283139
-27.81208909431406,0.0606774727112958
-27.772243694465477,0.0607891723428484
-27.732398294616885,0.0609522877194997
-27.692552894768298,0.0611350346056428
-27.65270749491971,0.0613859241569608
-27.61286209507112,0.0616692795605352
-27.57301669522253,0.0619465479136829
-27.533171295373947,0.0621997601865449
-27.49332589552536,0.0624156782913028
-27.45348049567677,0.0625972970662665
-27.413635095828184,0.0627230042762104
-27.3737896959796,0.0627814879347191
-27.33394429613101,0.0627918451828311
-27.294098896282424,0.0628021739312922
-27.25425349643384,0.0628152172714964
-27.21440809658525,0.0628372047521248
-27.17456269673666,0.0628403207139508
-27.134717296888077,0.0628526586877966
-27.09487189703949,0.0628603939680306
-27.055026497190894,0.062871283209625
-27.01518109734231,0.0629597366259702
-26.975335697493723,0.0630691159109497
-26.93549029764513,0.0632025631510694
-26.895644897796547,0.0634255705439755
-26.85579949794796,0.0636063723289482
-26.81595409809937,0.0637408835560329
-26.776108698250784,0.0638775868812619
-26.7362632984022,0.0639174578927967
-26.69641789855361,0.0639637199510339
-26.656572498705025,0.0640563746909081
-26.61672709885644,0.0639766255429258
-26.57688169900785,0.0639471616538919
-26.53703629915926,0.0638419741925578
-26.497190899310677,0.0637503074405796
-26.45734549946209,0.0637575249771566
-26.4175000996135,0.0638449476561295
-26.37765469976491,0.063993302588613
-26.337809299916323,0.06421255515252
-26.29796390006773,0.0643771976354626
-26.258118500219148,0.0645820982501973
-26.21827310037056,0.0647525855365343
-26.17842770052197,0.0649048710458639
-26.138582300673384,0.0650708791370762
-26.0987369008248,0.0652062714783662
-26.058891500976213,0.0652585849624666
-26.019046101127625,0.0652649546344308
-25.97920070127904,0.0652680302217514
-25.93935530143045,0.0652632755300018
-25.89950990158186,0.0652368326039577
-25.859664501733278,0.0651822723973822
-25.819819101884686,0.0651625506389961
-25.7799737020361,0.0651379079408972
-25.74012830218751,0.0651056178364876
-25.700282902338923,0.0650287067787355
-25.660437502490336,0.0649451861769577
-25.620592102641748,0.0648062147545155
-25.58074670279316,0.0646260328369487
-25.54090130294457,0.0644240771861348
-25.501055903095985,0.0642440330168804
-25.4612105032474,0.0640737594779247
-25.421365103398813,0.0640133164684202
-25.381519703550225,0.0639898375060642
-25.34167430370164,0.0639258700397383
-25.30182890385305,0.0637994360886979
-25.261983504004466,0.0637636999015067
